dataset;lang;path;actor_id;gender;emotion;statement_id;augmentation
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par02.wav;1;m;anger;2;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par03.wav;1;m;anger;3;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par04.wav;1;m;anger;4;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par05.wav;1;m;anger;5;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par06.wav;1;m;anger;6;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par07.wav;1;m;anger;7;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par08.wav;1;m;anger;8;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par09.wav;1;m;anger;9;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par10.wav;1;m;anger;10;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par11.wav;1;m;anger;11;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par12.wav;1;m;anger;12;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par13.wav;1;m;anger;13;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par14.wav;1;m;anger;14;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par15.wav;1;m;anger;15;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par16.wav;1;m;anger;16;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par17.wav;1;m;anger;17;
ecarini;ita;../StarGANv2-EmotionalVC/dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par18.wav;1;m;anger;18;
